,Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Broad.phase.of.flight
84548,20190721X24746,Accident,ANC19TA037,2019-07-21,"Skwentna, AK",United States,Substantial,Airplane,Piper,PA19,1.0,Reciprocating,Personal,
84550,20190721X40249,Accident,WPR19LA201,2019-07-21,"King City, CA",United States,Substantial,Airplane,Cessna,R182,1.0,Reciprocating,Personal,
84553,20190721X51301,Accident,CEN19LA229,2019-07-21,"Houston, MO",United States,Substantial,Airplane,Cessna,305A,1.0,Reciprocating,Personal,
84554,20190721X74952,Accident,GAA19CA446,2019-07-21,"Tracy, CA",United States,Substantial,Airplane,Evektor Aerotechnik,SPORTSTAR,1.0,Reciprocating,Personal,
84555,20190722X15452,Accident,WPR19LA202,2019-07-21,"Port Townsend, WA",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,
84556,20190722X83356,Accident,CEN19LA232,2019-07-21,"Fredericksburg, TX",United States,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Personal,
84559,20190724X23036,Accident,GAA19CA451,2019-07-21,"St. Louis, MO",United States,Substantial,Airplane,Cessna,402,2.0,Reciprocating,,
84564,20190722X23001,Accident,ANC19LA039,2019-07-22,"Boise, ID",United States,Substantial,Airplane,Cessna,402,2.0,Reciprocating,Business,
84565,20190722X90218,Accident,CEN19LA233,2019-07-22,"Kingston, OK",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,
84567,20190723X91454,Accident,WPR19LA198,2019-07-22,"Madras, OR",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,
84570,20190805X55405,Accident,DCA19CA189,2019-07-22,"San Juan, PR",United States,,Airplane,Boeing,767,2.0,,,
84574,20190726X91707,Accident,DCA19CA186,2019-07-23,"San Francisco, CA",United States,Substantial,Airplane,Boeing,757,2.0,,,
84575,20190724X13531,Accident,ERA19FA234,2019-07-24,"Americus, GA",United States,Destroyed,Airplane,Cirrus,SR22,,Reciprocating,Personal,
84579,20190724X83313,Accident,CEN19FA236,2019-07-24,"Chadron, NE",United States,Substantial,Airplane,Beech,95B55,2.0,Reciprocating,Personal,
84584,20190726X75842,Accident,ANC19LA040,2019-07-24,"Farewell, AK",United States,Substantial,Airplane,Cessna,182,1.0,Reciprocating,Personal,
84585,20190727X50530,Accident,CEN19CA237,2019-07-24,"Oshkosh, WI",United States,Substantial,Airplane,North American,AT 6F,1.0,Reciprocating,Personal,
84587,20190725X80319,Accident,ERA19TA235,2019-07-25,"Wakefield, VA",United States,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Personal,
84589,20190729X90946,Accident,CEN19LA243,2019-07-25,"Viroqua, WI",United States,Substantial,Airplane,Culver,LCA,,Reciprocating,Personal,
84592,20190728X21500,Accident,CEN19LA241,2019-07-26,"Mitchell, SD",United States,Substantial,Airplane,Stoddard-Hamilton,GlaStar,1.0,Reciprocating,Personal,
84597,20190726X01834,Accident,GAA19CA456,2019-07-27,"Sparta, TN",United States,Substantial,Airplane,Piper,PA46,1.0,Reciprocating,Business,
84598,20190726X34250,Accident,WPR19LA226,2019-07-27,"Fall City, WA",United States,Substantial,Airplane,Cessna,177RG,1.0,Reciprocating,Personal,
84603,20190728X20826,Accident,CEN19LA242,2019-07-27,"Lake, MI",United States,Substantial,Airplane,Icon,A5,1.0,Reciprocating,Business,
84607,20190806X52246,Accident,CEN19LA251,2019-07-27,"Chicago, IL",United States,Substantial,Airplane,Ryan,NAVION,1.0,Reciprocating,Personal,
84608,20190819X35614,Accident,GAA19CA500,2019-07-27,"Tok, AK",United States,Substantial,Airplane,Piper,PA18,1.0,Reciprocating,Personal,
84611,20190728X22107,Accident,CEN19CA239,2019-07-28,"Oshkosh, WI",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,
84612,20190728X45534,Accident,GAA19CA465,2019-07-28,"Richmond, VA",United States,Substantial,Airplane,Beech,36,1.0,Reciprocating,Personal,
84614,20190731X90347,Accident,GAA19CA472,2019-07-28,"Mt. Sterling, KY",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,
84618,20190731X35355,Accident,WPR19LA213,2019-07-29,"Roundup, MT",United States,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Personal,
84619,20190730X53121,Accident,GAA19CA470,2019-07-30,"Placerville, CA",United States,Substantial,Airplane,Cessna,177,1.0,Reciprocating,Personal,
84620,20190730X62947,Accident,ERA19LA239,2019-07-30,"Chattanooga, TN",United States,Substantial,Airplane,Cessna,210,1.0,Reciprocating,Personal,
84621,20190730X94556,Accident,GAA19CA464,2019-07-30,"WESTMINSTER, MD",United States,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Personal,
